nse_symbol,company_name,sector,industry,market_cap_tier,in_nifty50,in_nifty500
ADANIENSOL,Adani Energy Solutions Limited,Power Distribution,,Large,False,True
ADANIGREEN,Adani Green Energy Limited,Power Generation,,Large,False,True
HSCL,Himadri Speciality Chemical Limited,Carbon Black,,Large,False,True
MARUTI,Maruti Suzuki India Limited,Consumer Discretionary,Automobiles - Passenger Cars,Large,True,True
SHRIRAMFIN,Shriram Finance Limited,Financials,Non-Banking Finance (NBFC),Large,True,True
POWERGRID,Power Grid Corporation of India Limited,Utilities,Power Transmission,Large,True,True
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Ports & Logistics,Large,True,True
ITC,ITC Limited,Consumer Staples,Conglomerate - FMCG / Hotels / Paper,Large,True,True
BEL,Bharat Electronics Limited,Aerospace & Defense,,Large,False,True
TRENT,Trent Limited,Speciality Retail,,Large,False,True
TMCV,Tata Motors Limited,Commercial Vehicles,,Large,False,True
SAREGAMA,Saregama India Limited,Media & Entertainment,,Large,False,True
HINDALCO,Hindalco Industries Limited,Materials,Aluminium & Copper,Large,True,True
BHEL,Bharat Heavy Electricals Limited,Heavy Electrical Equipment,,Large,False,True
SUZLON,Suzlon Energy Limited,Heavy Electrical Equipment,,Large,False,True
DATAPATTNS,Data Patterns (India) Limited,Aerospace & Defense,,Large,False,True
GRSE,Garden Reach Shipbuilders & Engineers Limited,Aerospace & Defense,,Large,False,True
POLICYBZR,PB Fintech Limited,Financial Technology (Fintech),,Large,False,True
JSWSTEEL,JSW Steel Limited,Materials,Steel,Large,True,True
TMPV,Tata Motors Passenger Vehicles Limited,Passenger Cars & Utility Vehicles,,Large,False,True
COALINDIA,Coal India Limited,Energy,Coal Mining,Large,True,True
JAINREC,Jain Resource Recycling Limited,Diversified Metals,,Large,False,True
TITAN,Titan Company Limited,Consumer Discretionary,Jewellery & Watches,Large,True,True
HINDZINC,Hindustan Zinc Limited,Zinc,,Large,False,True
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Life Insurance,,Large,False,True
NAUKRI,Info Edge (India) Limited,Internet & Catalogue Retail,,Large,False,True
DELHIVERY,Delhivery Limited,Logistics Solution Provider,,Large,False,True
SWIGGY,Swiggy Limited,E-Retail/ E-Commerce,,Large,False,True
CGPOWER,CG Power and Industrial Solutions Limited,Heavy Electrical Equipment,,Large,False,True
ONGC,Oil & Natural Gas Corporation Limited,Energy,Oil & Gas Exploration,Large,True,True
WIPRO,Wipro Limited,Information Technology,IT Services & Consulting,Large,True,True
OFSS,Oracle Financial Services Software Limited,Software Products,,Large,False,True
JSWENERGY,JSW Energy Limited,Power Generation,,Large,False,True
JIOFIN,Jio Financial Services Limited,Investment Company,,Large,False,True
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Discretionary,Automobiles - 2W & 3W,Large,True,True
NTPC,NTPC Limited,Utilities,Power Generation,Large,True,True
HCLTECH,HCL Technologies Limited,Information Technology,IT Services & Consulting,Large,True,True
